"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2016-03-18;0,1087;3,7882;2,8867;0,4884;2,9103;2,5762;2,7916;4,2705;1,3741;3,9045;5,4708;0,1435;3,4033;0,1579;0,573;3,0341;0,4548;0,4612;0,5669;0,9553;2,1834;1,3233;0,9824;0,5653;0,0817;0,2182;0,2463;1,0449;0,933;0,0552;2,8879;5,694;0,3255;0,5847;5,3152
2016-03-21;0,1084;3,7838;2,8818;0,488;2,9012;2,5667;2,786;4,2603;1,3736;3,8994;5,4511;0,1422;3,3921;0,1576;0,5716;3,0226;0,4516;0,4604;0,5663;0,9535;2,1783;1,3186;0,983;0,5595;0,0816;0,2177;0,2465;1,0439;0,9317;0,0554;2,8805;5,6895;0,326;0,5839;5,3113
2016-03-22;0,1089;3,8005;2,8856;0,4901;2,9075;2,5637;2,7934;4,259;1,3694;3,9104;5,4307;0,1458;3,4019;0,1575;0,5714;3,0292;0,4504;0,46;0,5652;0,9529;2,1776;1,3214;0,9863;0,5615;0,0821;0,2181;0,2493;1,05;0,9465;0,0561;2,8839;5,6912;0,3281;0,5853;5,3096
2016-03-23;0,1082;3,801;2,8853;0,4901;2,9069;2,5489;2,7803;4,2533;1,359;3,8951;5,3877;0,1462;3,3744;0,1573;0,5707;3,0219;0,4502;0,4602;0,5641;0,9529;2,1747;1,323;0,9885;0,5648;0,082;0,2187;0,2484;1,0622;0,9453;0,0561;2,8847;5,6885;0,3272;0,5849;5,3169
2016-03-24;0,1082;3,824;2,8677;0,4928;2,885;2,5563;2,7918;4,2715;1,3605;3,9201;5,3872;0,1453;3,3924;0,1579;0,5731;3,0391;0,4501;0,4617;0,5663;0,9567;2,184;1,3253;0,9965;0,5608;0,0824;0,2164;0,2471;1,0387;0,9493;0,055;2,8856;5,7148;0,3274;0,587;5,3462
2016-03-25;0,1082;3,8174;2,8734;0,4921;2,8862;2,5595;2,7833;4,263;1,3601;3,9087;5,403;0,1471;3,3778;0,1575;0,5719;3,0331;0,4498;0,46;0,5659;0,9551;2,1797;1,3297;0,9942;0,5607;0,0822;0,2165;0,247;1,0368;0,9474;0,056;2,8806;5,7034;0,3264;0,5862;5,3347
2016-03-29;0,1074;3,8037;2,8616;0,4904;2,881;2,561;2,7796;4,2535;1,3559;3,9025;5,4216;0,1436;3,3451;0,1572;0,5706;3,0231;0,4494;0,4593;0,5654;0,9531;2,1748;1,3238;0,9924;0,5601;0,0821;0,2179;0,2454;1,049;0,9527;0,0553;2,8392;5,7063;0,3264;0,5843;5,324
2016-03-30;0,1064;3,7495;2,8732;0,4836;2,875;2,5952;2,7763;4,2445;1,3537;3,889;5,3974;0,1428;3,3412;0,1568;0,5694;3,0178;0,4495;0,4594;0,5645;0,9522;2,1702;1,3223;0,9892;0,5513;0,0815;0,2168;0,2499;1,0315;0,9533;0,0557;2,826;5,6563;0,3277;0,5788;5,3039
2016-03-31;0,1068;3,759;2,8838;0,4847;2,9007;2,6018;2,7914;4,2684;1,3586;3,904;5,4078;0,1436;3,3463;0,1578;0,5729;3,0348;0,4532;0,4624;0,567;0,9538;2,1824;1,3284;0,9963;0,5584;0,0818;0,2182;0,2542;1,045;0,9635;0,0555;2,8344;5,6814;0,3302;0,5815;5,3019
2016-04-01;0,1059;3,7193;2,8537;0,4796;2,8564;2,5677;2,7574;4,2387;1,3518;3,8722;5,326;0,1429;3,3097;0,1568;0,5688;3,0179;0,45;0,4587;0,5644;0,9479;2,1672;1,3184;0,9822;0,5543;0,0808;0,2146;0,2532;1,0356;0,9555;0,0554;2,826;5,6067;0,3231;0,5751;5,2451
2016-04-04;0,1057;3,7254;2,8382;0,4804;2,8523;2,555;2,7549;4,2355;1,355;3,8771;5,2871;0,1438;3,3386;0,1567;0,5688;3,021;0,4471;0,4581;0,564;0,9481;2,1656;1,3189;0,9849;0,5555;0,0807;0,215;0,2518;1,048;0,9554;0,0544;2,8293;5,6331;0,3239;0,5749;5,2208
2016-04-05;0,1058;3,7337;2,8243;0,4815;2,8454;2,5323;2,7535;4,2452;1,3573;3,8915;5,3145;0,1431;3,3799;0,157;0,5706;3,028;0,4478;0,458;0,5647;0,9503;2,1705;1,319;0,9846;0,5562;0,0807;0,2123;0,2503;1,0307;0,952;0,0544;2,8246;5,6153;0,322;0,5772;5,2487
2016-04-06;0,1064;3,751;2,8327;0,4836;2,8499;2,5479;2,7659;4,2577;1,3632;3,9042;5,2933;0,1446;3,3983;0,1575;0,572;3,0336;0,4497;0,46;0,567;0,9535;2,177;1,3178;0,9834;0,5555;0,0811;0,2116;0,2467;1,0197;0,9569;0,0547;2,8374;5,6252;0,3234;0,5787;5,2733
2016-04-07;0,1063;3,7414;2,8358;0,4823;2,8607;2,5555;2,7733;4,2601;1,3668;3,9139;5,2704;0,145;3,4516;0,1576;0,5723;3,0224;0,4508;0,4588;0,5674;0,9538;2,1781;1,3163;0,9893;0,5543;0,0812;0,212;0,2475;1,0272;0,9552;0,0553;2,8429;5,6272;0,3244;0,578;5,2836
